"loyalty_number","country","province","city","postal_code","gender","education","salary","marital_status","loyalty_card","clv","enrollment_type","enrollment_year","enrollment_month","cancellation_year","cancellation_month"
269070,"Canada","British Columbia","Vancouver","V6E 3Z3","Male","Master",93153,"Married","Star",3985.32,"Standard",2013,1,0,0
969378,"Canada","Ontario","Toronto","M2M 7K8","Female","Bachelor",81396,"Married","Aurora",9756.04,"Standard",2016,9,0,0
608504,"Canada","British Columbia","Vancouver","V1E 4R6","Female","Bachelor",87264,"Married","Aurora",9766.22,"Standard",2012,7,0,0
902562,"Canada","Ontario","Toronto","P1J 8T7","Female","Bachelor",87264,"Married","Aurora",9766.22,"Standard",2013,11,0,0
998580,"Canada","Ontario","Toronto","P1J 8T7","Male","Bachelor",58414,"Married","Aurora",9767.94,"Standard",2013,8,0,0
606600,"Canada","Ontario","Toronto","P1J 8T7","Male","Bachelor",102168,"Married","Aurora",9774.61,"Standard",2013,8,11,11
329826,"Canada","Ontario","Toronto","P1J 8T7","Female","Bachelor",104617,"Married","Aurora",9778.73,"Standard",2014,11,0,0
297167,"Canada","British Columbia","Whistler","V6T 1Y8","Male","Bachelor",63035,"Married","Nova",8406.39,"2018 Promotion",2018,4,0,0
665031,"Canada","Quebec","Montreal","H2Y 4R4","Female","High School or Below",64811,"Married","Aurora",9799.18,"Standard",2015,5,1,1
192355,"Canada","Manitoba","Winnipeg","R3R 3T4","Female","Bachelor",55502,"Married","Aurora",9800.34,"Standard",2016,6,0,0
514042,"Canada","Quebec","Montreal","H2Y 2W2","Female","Bachelor",72225,"Divorced","Aurora",9837.51,"Standard",2017,2,0,0
284892,"Canada","British Columbia","Vancouver","V6E 3D9","Male","Bachelor",73449,"Single","Nova",8810.9,"2018 Promotion",2018,4,0,0
654540,"Canada","Ontario","Toronto","M8Y 4K8","Female","Bachelor",52145,"Married","Nova",8032.4,"2018 Promotion",2018,4,0,0
705113,"Canada","British Columbia","Vancouver","V6E 3Z3","Male","Doctor",87499,"Married","Aurora",9939.26,"Standard",2015,11,0,0
659112,"Canada","Alberta","Banff","T4V 1D4","Male","Bachelor",81585,"Single","Aurora",9942.3,"Standard",2016,8,0,0
765955,"Canada","Ontario","Toronto","M1R 4K3","Male","Bachelor",81585,"Single","Aurora",9942.3,"Standard",2014,12,0,0
289732,"Canada","Ontario","Toronto","P1L 8X8","Female","Bachelor",103759,"Married","Aurora",10003.25,"Standard",2013,7,0,0
419275,"Canada","New Brunswick","Moncton","E1A 2A7","Male","Bachelor",77934,"Married","Aurora",10016.29,"Standard",2016,12,0,0
140735,"Canada","Quebec","Hull","J8Y 3Z5","Female","Doctor",124103,"Single","Aurora",10056.51,"Standard",2014,3,8,8
284362,"Canada","British Columbia","Vancouver","V6E 3Z3","Male","Doctor",124103,"Single","Aurora",10056.51,"Standard",2016,1,0,0
198713,"Canada","Alberta","Edmonton","T9G 1W3","Female","Bachelor",46863,"Married","Aurora",10064.61,"Standard",2016,8,0,0
713853,"Canada","British Columbia","Dawson Creek","U5I 4F1","Male","Bachelor",76502,"Married","Aurora",10080.37,"Standard",2017,1,0,0
349490,"Canada","Quebec","Montreal","H2Y 2W2","Male","Master",75891,"Divorced","Aurora",10083.49,"Standard",2015,7,0,0
369242,"Canada","Newfoundland","St. John's","A1C 6H9","Female","Master",75891,"Divorced","Aurora",10083.49,"Standard",2016,3,0,0
985320,"Canada","British Columbia","Vancouver","V6E 3D9","Female","Master",75891,"Divorced","Aurora",10083.49,"Standard",2017,6,2,2
921886,"Canada","Quebec","Tremblant","H5Y 2S9","Female","Bachelor",78488,"Single","Aurora",10089.79,"Standard",2014,2,0,0
189836,"Canada","Saskatchewan","Regina","S1J 3C5","Female","Bachelor",82395,"Married","Aurora",10097.2,"Standard",2015,12,0,0
788870,"Canada","Nova Scotia","Halifax","B3J 9S2","Female","Bachelor",82395,"Married","Aurora",10097.2,"Standard",2013,6,0,0
753456,"Canada","Manitoba","Winnipeg","R2C 0M5","Female","Bachelor",84837,"Married","Aurora",10103.65,"Standard",2017,10,0,0
759847,"Canada","British Columbia","Vancouver","V6E 3Z3","Male","Bachelor",66055,"Single","Aurora",10103.66,"Standard",2012,7,0,0
387705,"Canada","Quebec","Hull","J8Y 3Z5","Female","Master",93153,"Married","Star",3985.32,"Standard",2013,4,0,0
923293,"Canada","Saskatchewan","Regina","S6J 3G0","Male","Bachelor",86793,"Divorced","Star",3985.55,"Standard",2016,6,0,0
283314,"Canada","Ontario","Toronto","M2Z 4K1","Female","Bachelor",72127,"Married","Star",3991.73,"Standard",2013,4,2,2
654748,"Canada","Ontario","Ottawa","K1F 2R2","Female","Bachelor",65721,"Married","Star",3996.77,"Standard",2017,4,12,12
114835,"Canada","Ontario","Toronto","M1R 4K3","Female","Master",101354,"Divorced","Star",4001.52,"Standard",2017,7,0,0
328936,"Canada","Ontario","Thunder Bay","K8T 5M5","Female","Bachelor",53118,"Married","Star",4005.72,"Standard",2015,3,0,0
845864,"Canada","British Columbia","Vancouver","V5R 1W3","Female","Doctor",115440,"Married","Star",4013.85,"Standard",2013,4,0,0
645265,"Canada","Quebec","Quebec City","G1B 3L5","Male","Bachelor",73313,"Married","Star",4013.95,"Standard",2013,3,0,0
223587,"Canada","British Columbia","Vancouver","V6E 3Z3","Female","Bachelor",100167,"Married","Star",4013.96,"Standard",2017,8,0,0
605790,"Canada","Alberta","Edmonton","T3G 6Y6","Male","High School or Below",51162,"Married","Aurora",10110.78,"Standard",2014,7,0,0
984086,"Canada","New Brunswick","Moncton","E1A 2A7","Male","Bachelor",102525,"Married","Aurora",10110.96,"Standard",2016,4,0,0
442249,"Canada","Ontario","Toronto","M2M 7K8","Female","Bachelor",78393,"Divorced","Aurora",10115.45,"Standard",2016,4,0,0
858222,"Canada","Ontario","Toronto","P1W 1K4","Female","High School or Below",66699,"Married","Aurora",10127.77,"Standard",2018,11,0,0
866295,"Canada","British Columbia","Vancouver","V6E 3Z3","Male","Bachelor",52947,"Single","Aurora",10155.3,"Standard",2017,6,3,3
938822,"Canada","Ontario","Toronto","M2P 4F6","Female","Bachelor",83276,"Divorced","Aurora",10171.34,"Standard",2017,7,0,0
300606,"Canada","Ontario","Toronto","P1J 8T7","Male","Bachelor",86234,"Married","Aurora",10171.48,"Standard",2013,4,0,0
392335,"Canada","British Columbia","Vancouver","V5R 1W3","Male","Bachelor",86234,"Married","Aurora",10171.48,"Standard",2014,9,0,0
189822,"Canada","Alberta","Edmonton","T9G 1W3","Female","Master",83773,"Married","Aurora",10179.72,"Standard",2012,7,0,0
678243,"Canada","Alberta","Edmonton","T9G 1W3","Male","Master",83773,"Married","Aurora",10179.72,"Standard",2014,12,0,0
138025,"Canada","Ontario","Toronto","M2M 7K8","Male","Bachelor",57870,"Married","Aurora",10208.93,"Standard",2017,3,11,11
290554,"Canada","New Brunswick","Fredericton","E3B 2H2","Male","Bachelor",57870,"Married","Aurora",10208.93,"Standard",2013,6,0,0
653081,"Canada","Alberta","Edmonton","T3G 6Y6","Male","Bachelor",57870,"Married","Aurora",10208.93,"Standard",2012,7,0,0
681593,"Canada","British Columbia","Vancouver","V5R 1W3","Male","Bachelor",57870,"Married","Aurora",10208.93,"Standard",2018,5,0,0
455758,"Canada","Ontario","Toronto","M2M 7K8","Male","Bachelor",81892,"Divorced","Aurora",10357.51,"Standard",2017,12,0,0
931657,"Canada","British Columbia","Vancouver","V5R 1W3","Male","Bachelor",70495,"Married","Aurora",10357.63,"Standard",2012,7,0,0
148767,"Canada","British Columbia","Dawson Creek","U5I 4F1","Male","Bachelor",77705,"Married","Aurora",10373.89,"Standard",2013,1,0,0
696864,"Canada","Ontario","Toronto","M2Z 4K1","Male","Bachelor",77705,"Married","Aurora",10373.89,"Standard",2017,3,0,0
437403,"Canada","Ontario","Toronto","M2Z 4K1","Female","Bachelor",56370,"Single","Aurora",10388.99,"Standard",2016,9,5,5
239525,"Canada","British Columbia","Dawson Creek","U5I 4F1","Female","Bachelor",61811,"Married","Nova",8920.46,"2018 Promotion",2018,3,0,0
767648,"Canada","British Columbia","Vancouver","V6E 3Z3","Male","Bachelor",57480,"Married","Aurora",10396.53,"Standard",2017,9,0,0
521225,"Canada","Ontario","Ottawa","K1G 4Z0","Female","Master",102782,"Divorced","Aurora",10408.97,"Standard",2013,10,0,0
521486,"Canada","Ontario","Toronto","M8Y 4K8","Female","Master",102782,"Divorced","Aurora",10408.97,"Standard",2015,10,0,0
912984,"Canada","British Columbia","Vancouver","V1E 4R6","Female","Master",102782,"Divorced","Aurora",10408.97,"Standard",2013,9,7,7
956477,"Canada","British Columbia","West Vancouver","V6V 8Z3","Female","Bachelor",90587,"Married","Aurora",10419.17,"Standard",2013,4,0,0
225920,"Canada","British Columbia","Whistler","V6T 1Y8","Female","Bachelor",82078,"Married","Aurora",10425.99,"Standard",2016,6,0,0
821712,"Canada","Quebec","Montreal","H2T 9K8","Male","Bachelor",70208,"Married","Aurora",10426.09,"Standard",2016,3,11,11
251874,"Canada","Ontario","Toronto","M2M 7K8","Female","High School or Below",54390,"Married","Aurora",10442.65,"Standard",2012,11,0,0
660684,"Canada","Alberta","Edmonton","T3G 6Y6","Female","High School or Below",54390,"Married","Aurora",10442.65,"Standard",2017,1,0,0
432200,"Canada","Ontario","Toronto","P2T 6G3","Female","Bachelor",76856,"Single","Aurora",10477.78,"Standard",2013,12,0,0
467631,"Canada","Ontario","Toronto","P1J 8T7","Male","Bachelor",89302,"Divorced","Aurora",10479.9,"Standard",2016,5,0,0
540109,"Canada","British Columbia","Vancouver","V1E 4R6","Female","Bachelor",89302,"Divorced","Aurora",10479.9,"Standard",2012,9,0,0
